"filename", "language", "JSON", "Properties", "JavaScript", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\.env", "Properties", 0, 4, 0, 0, 0, 0, 0, 3, 7
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\config\db.js", "JavaScript", 0, 0, 11, 0, 0, 0, 1, 4, 16
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\controllers\authController.js", "JavaScript", 0, 0, 83, 0, 0, 0, 22, 13, 118
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\controllers\reservationController.js", "JavaScript", 0, 0, 40, 0, 0, 0, 8, 6, 54
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\middlewares\checkCurrentUser.js", "JavaScript", 0, 0, 18, 0, 0, 0, 4, 4, 26
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\middlewares\errorHandler.js", "JavaScript", 0, 0, 24, 0, 0, 0, 5, 5, 34
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\middlewares\verifyToken.js", "JavaScript", 0, 0, 14, 0, 0, 0, 8, 5, 27
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\models\Reservation.js", "JavaScript", 0, 0, 59, 0, 0, 0, 23, 15, 97
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\models\User.js", "JavaScript", 0, 0, 58, 0, 0, 0, 1, 9, 68
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\package-lock.json", "JSON", 2398, 0, 0, 0, 0, 0, 0, 1, 2399
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 1, 25
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\routes\authRoute.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 8, 24
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\routes\reservationRoute.js", "JavaScript", 0, 0, 10, 0, 0, 0, 1, 7, 18
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\back-end\server.js", "JavaScript", 0, 0, 27, 0, 0, 0, 9, 10, 46
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 33, 71
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\package-lock.json", "JSON", 29342, 0, 0, 0, 0, 0, 0, 1, 29343
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\package.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 1, 51
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\public\index.html", "HTML", 0, 0, 0, 0, 19, 0, 23, 1, 43
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\public\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 1, 16
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\App.css", "CSS", 0, 0, 0, 121, 0, 0, 2, 18, 141
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\App.js", "JavaScript", 0, 0, 64, 0, 0, 0, 16, 12, 92
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\actions\initalData.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 2, 87
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\AppContext.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 2, 5
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Footer\Footer.css", "CSS", 0, 0, 0, 83, 0, 0, 0, 16, 99
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Footer\Footer.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 7, 105
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Header\Header.css", "CSS", 0, 0, 0, 55, 0, 0, 0, 10, 65
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Header\Header.js", "JavaScript", 0, 0, 69, 0, 0, 0, 6, 7, 82
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Hero\Hero.css", "CSS", 0, 0, 0, 47, 0, 0, 0, 8, 55
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Hero\Hero.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 4, 19
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Login\Login.css", "CSS", 0, 0, 0, 126, 0, 0, 0, 19, 145
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Login\Login.js", "JavaScript", 0, 0, 90, 0, 0, 0, 11, 20, 121
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Register\Register.css", "CSS", 0, 0, 0, 106, 0, 0, 0, 15, 121
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Register\Register.js", "JavaScript", 0, 0, 105, 0, 0, 0, 13, 20, 138
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\ReservationHistory\ReservationHistory.css", "CSS", 0, 0, 0, 94, 0, 0, 1, 21, 116
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\ReservationHistory\ReservationHistory.js", "JavaScript", 0, 0, 80, 0, 0, 0, 7, 9, 96
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\ReservationHistory\ReservationHistoryItem.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 6, 32
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Reservation\Reservation.css", "CSS", 0, 0, 0, 261, 0, 0, 3, 36, 300
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Reservation\Reservation.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\Reservation\ReservationItem.js", "JavaScript", 0, 0, 461, 0, 0, 0, 12, 34, 507
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\UserProfile\UserProfile.css", "CSS", 0, 0, 0, 248, 0, 0, 1, 29, 278
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\UserProfile\UserProfile.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 2, 17
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\components\UserProfile\UserProfileItem.js", "JavaScript", 0, 0, 255, 0, 0, 0, 3, 21, 279
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\index.css", "CSS", 0, 0, 0, 76, 0, 0, 2, 18, 96
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 1, 2, 9
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\myriad-pro\example.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 4, 25
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\myriad-pro\style.css", "CSS", 0, 0, 0, 60, 0, 0, 1, 19, 80
"d:\UH\4351 - Fundamental of software\project\16 Table availability - Copy\front-end\src\reducers\AppReducer.js", "JavaScript", 0, 0, 26, 0, 0, 0, 2, 5, 33
"Total", "-", 31829, 4, 1765, 1277, 40, 38, 188, 496, 35637